ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,65.52.7.224,65.52.7.224,443,78,0.000674000
10.6.12.203,65.52.7.224,65.52.7.224,443,52,0.058983000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.050545000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.029787000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.023165000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.000577000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.000457000
10.6.12.203,65.52.7.224,65.52.7.224,443,279,0.018763000
10.6.12.203,65.52.7.224,65.52.7.224,443,133,0.014130000
10.6.12.203,65.52.7.224,65.52.7.224,443,127,0.007956000
10.6.12.203,52.243.159.155,52.243.159.155,443,78,0.011952000
10.6.12.203,52.243.159.155,52.243.159.155,443,52,0.029970000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.114711000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.062058000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.008084000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.003457000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.002501000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.000448000
10.6.12.203,52.243.159.155,52.243.159.155,443,245,0.001696000
10.6.12.203,52.243.159.155,52.243.159.155,443,198,0.022453000
10.6.12.203,52.243.159.155,52.243.159.155,443,127,0.008375000
10.6.12.203,52.230.222.68,52.230.222.68,443,40,0.004993000
10.6.12.203,52.179.224.121,52.179.224.121,443,52,0.008631000
10.6.12.203,52.179.224.121,52.179.224.121,443,52,0.002671000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.155130000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.141068000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.111667000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.100943000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.091423000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.087444000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.044449000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.028194000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.025899000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.002176000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.000688000
10.6.12.203,52.179.224.121,52.179.224.121,443,388,0.000074000
10.6.12.203,52.179.224.121,52.179.224.121,443,387,0.084646000
10.6.12.203,52.179.224.121,52.179.224.121,443,287,0.000086000
10.6.12.203,52.179.224.121,52.179.224.121,443,259,0.001238000
10.6.12.203,52.179.224.121,52.179.224.121,443,224,0.001296000
10.6.12.203,52.179.224.121,52.179.224.121,443,224,0.001115000
10.6.12.203,52.179.224.121,52.179.224.121,443,142,0.000260000
10.6.12.203,52.179.224.121,52.179.224.121,443,139,93.203662000
10.6.12.203,52.179.224.121,52.179.224.121,443,139,48.858256000
10.6.12.203,52.179.224.121,52.179.224.121,443,139,0.000803000
10.6.12.203,52.179.224.121,52.179.224.121,443,133,0.003047000
10.6.12.203,52.179.224.121,52.179.224.121,443,133,0.002210000
10.6.12.203,52.179.224.121,52.179.224.121,443,1145,0.000238000
10.6.12.203,52.179.224.121,52.179.224.121,443,1144,0.000284000
10.6.12.203,52.177.166.224,52.177.166.224,443,52,59.111763000
10.6.12.203,52.177.166.224,52.177.166.224,443,52,0.017433000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,1.038255000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.147199000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.107128000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.106243000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.101885000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.064029000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.058236000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.031043000
10.6.12.203,52.177.166.224,52.177.166.224,443,388,0.113930000
10.6.12.203,52.177.166.224,52.177.166.224,443,388,0.045575000
10.6.12.203,52.177.166.224,52.177.166.224,443,287,0.000346000
10.6.12.203,52.177.166.224,52.177.166.224,443,259,0.005510000
10.6.12.203,52.177.166.224,52.177.166.224,443,224,0.001907000
10.6.12.203,52.177.166.224,52.177.166.224,443,224,0.001708000
10.6.12.203,52.177.166.224,52.177.166.224,443,143,0.000476000
10.6.12.203,52.177.166.224,52.177.166.224,443,139,0.001958000
10.6.12.203,52.177.166.224,52.177.166.224,443,133,0.002167000
10.6.12.203,52.177.166.224,52.177.166.224,443,133,0.001804000
10.6.12.203,52.177.166.224,52.177.166.224,443,1145,0.000407000
10.6.12.203,52.177.166.224,52.177.166.224,443,1145,0.000295000
10.6.12.203,52.148.151.26,52.148.151.26,443,78,0.000175000
10.6.12.203,52.148.151.26,52.148.151.26,443,546,0.000126000
10.6.12.203,52.148.151.26,52.148.151.26,443,52,19.636406000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.180685000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.142791000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.139069000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.134799000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.103875000
10.6.12.203,52.148.151.26,52.148.151.26,443,256,0.000791000
10.6.12.203,52.148.151.26,52.148.151.26,443,166,0.003473000
10.6.12.203,52.148.151.26,52.148.151.26,443,127,0.149018000
10.6.12.203,52.114.74.45,52.114.74.45,443,91,0.001394000
10.6.12.203,52.114.74.45,52.114.74.45,443,898,0.001830000
10.6.12.203,52.114.74.45,52.114.74.45,443,898,0.000922000
10.6.12.203,52.114.74.45,52.114.74.45,443,52,245.080001000
10.6.12.203,52.114.74.45,52.114.74.45,443,52,20.585607000
10.6.12.203,52.114.74.45,52.114.74.45,443,52,173.714662000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,16.001424000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.405250000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.278936000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.181765000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.180028000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.162155000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.161992000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.160959000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.160343000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.160339000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.159061000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.158708000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.157471000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.155141000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.113044000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.000311000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.000149000
10.6.12.203,52.114.74.45,52.114.74.45,443,268,0.000010000
10.6.12.203,52.114.74.45,52.114.74.45,443,260,0.000514000
10.6.12.203,52.114.74.45,52.114.74.45,443,260,0.000406000
10.6.12.203,52.114.74.45,52.114.74.45,443,254,0.000738000
10.6.12.203,52.114.74.45,52.114.74.45,443,1500,0.000126000
10.6.12.203,52.114.74.45,52.114.74.45,443,1405,0.000147000
10.6.12.203,52.114.74.45,52.114.74.45,443,133,0.003084000
10.6.12.203,52.114.74.45,52.114.74.45,443,133,0.001038000
10.6.12.203,52.114.74.45,52.114.74.45,443,1010,0.000316000
10.6.12.203,52.114.74.45,52.114.74.45,443,1010,0.000304000
10.6.12.203,52.114.74.45,52.114.74.45,443,1009,0.000198000
10.6.12.203,52.114.74.45,52.114.74.45,443,1008,0.598344000
10.6.12.203,52.114.74.45,52.114.74.45,443,1008,0.570190000
10.6.12.203,52.114.74.45,52.114.74.45,443,1008,0.168893000
10.6.12.203,52.114.128.75,52.114.128.75,443,52,0.077178000
10.6.12.203,52.114.128.75,52.114.128.75,443,40,0.192433000
10.6.12.203,52.114.128.75,52.114.128.75,443,40,0.096037000
10.6.12.203,52.114.128.75,52.114.128.75,443,40,0.080719000
10.6.12.203,52.114.128.75,52.114.128.75,443,40,0.024227000
10.6.12.203,52.114.128.75,52.114.128.75,443,40,0.000426000
10.6.12.203,52.114.128.75,52.114.128.75,443,254,0.000791000
10.6.12.203,52.114.128.75,52.114.128.75,443,209,0.000008000
10.6.12.203,52.114.128.75,52.114.128.75,443,1500,0.000186000
10.6.12.203,52.114.128.75,52.114.128.75,443,133,0.001489000
10.6.12.203,52.114.128.75,52.114.128.75,443,1009,0.134760000
10.6.12.203,52.114.128.75,52.114.128.75,443,1009,0.000230000
10.6.12.203,52.114.128.75,52.114.128.75,443,1008,0.101153000
10.6.12.203,52.109.76.32,52.109.76.32,443,749,0.169735000
10.6.12.203,52.109.76.32,52.109.76.32,443,52,13.079938000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.171340000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.158406000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.156718000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.153830000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.144651000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.052193000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.009509000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000613000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000502000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000438000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000393000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000352000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000334000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000239000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000195000
10.6.12.203,52.109.76.32,52.109.76.32,443,40,0.000159000
10.6.12.203,52.109.76.32,52.109.76.32,443,254,0.159019000
10.6.12.203,52.109.76.32,52.109.76.32,443,237,0.000410000
10.6.12.203,52.109.12.18,52.109.12.18,443,733,0.093074000
10.6.12.203,52.109.12.18,52.109.12.18,443,52,17.099706000
10.6.12.203,52.109.12.18,52.109.12.18,443,40,17.778174000
10.6.12.203,52.109.12.18,52.109.12.18,443,40,0.129337000
10.6.12.203,52.109.12.18,52.109.12.18,443,40,0.097657000
10.6.12.203,52.109.12.18,52.109.12.18,443,40,0.095764000
10.6.12.203,52.109.12.18,52.109.12.18,443,40,0.089399000
10.6.12.203,52.109.12.18,52.109.12.18,443,40,0.000295000
10.6.12.203,52.109.12.18,52.109.12.18,443,255,0.001225000
10.6.12.203,52.109.12.18,52.109.12.18,443,254,0.086952000
10.6.12.203,40.126.7.66,40.126.7.66,443,639,0.008498000
10.6.12.203,40.126.7.66,40.126.7.66,443,52,0.036233000
10.6.12.203,40.126.7.66,40.126.7.66,443,40,0.123709000
10.6.12.203,40.126.7.66,40.126.7.66,443,40,0.112487000
10.6.12.203,40.126.7.66,40.126.7.66,443,40,0.089654000
10.6.12.203,40.126.7.66,40.126.7.66,443,40,0.088551000
10.6.12.203,40.126.7.66,40.126.7.66,443,40,0.047163000
10.6.12.203,40.126.7.66,40.126.7.66,443,40,0.000526000
10.6.12.203,40.126.7.66,40.126.7.66,443,251,0.008108000
10.6.12.203,40.126.7.66,40.126.7.66,443,166,0.004087000
10.6.12.203,40.122.160.14,40.122.160.14,443,93,0.000009000
10.6.12.203,40.122.160.14,40.122.160.14,443,898,0.001697000
10.6.12.203,40.122.160.14,40.122.160.14,443,898,0.000994000
10.6.12.203,40.122.160.14,40.122.160.14,443,600,0.001727000
10.6.12.203,40.122.160.14,40.122.160.14,443,52,7.831321000
10.6.12.203,40.122.160.14,40.122.160.14,443,52,17.468908000
10.6.12.203,40.122.160.14,40.122.160.14,443,52,17.073378000
10.6.12.203,40.122.160.14,40.122.160.14,443,52,0.114719000
10.6.12.203,40.122.160.14,40.122.160.14,443,509,0.002147000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,17.847553000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.521764000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.269196000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.136223000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.121687000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.116773000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.116013000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.109535000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.109186000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.106179000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.105273000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.103462000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.102792000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.100809000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.100640000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.099615000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.099301000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.098427000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.098404000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.097959000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.095488000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.093367000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.004578000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.002577000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.001504000
10.6.12.203,40.122.160.14,40.122.160.14,443,40,0.000131000
10.6.12.203,40.122.160.14,40.122.160.14,443,294,0.000004000
10.6.12.203,40.122.160.14,40.122.160.14,443,269,0.000550000
10.6.12.203,40.122.160.14,40.122.160.14,443,254,0.103851000
10.6.12.203,40.122.160.14,40.122.160.14,443,254,0.000573000
10.6.12.203,40.122.160.14,40.122.160.14,443,237,0.002611000
10.6.12.203,40.122.160.14,40.122.160.14,443,1500,0.000338000
10.6.12.203,40.122.160.14,40.122.160.14,443,1500,0.000172000
10.6.12.203,40.122.160.14,40.122.160.14,443,1500,0.000166000
10.6.12.203,40.122.160.14,40.122.160.14,443,1500,0.000017000
10.6.12.203,40.122.160.14,40.122.160.14,443,1500,0.000008000
10.6.12.203,40.122.160.14,40.122.160.14,443,1500,0.000007000
10.6.12.203,40.122.160.14,40.122.160.14,443,1500,0.000007000
10.6.12.203,40.122.160.14,40.122.160.14,443,148,0.000008000
10.6.12.203,40.122.160.14,40.122.160.14,443,1446,0.000340000
10.6.12.203,40.122.160.14,40.122.160.14,443,133,0.044057000
10.6.12.203,40.122.160.14,40.122.160.14,443,133,0.028273000
10.6.12.203,40.122.160.14,40.122.160.14,443,133,0.003061000
10.6.12.203,40.122.160.14,40.122.160.14,443,133,0.001102000
10.6.12.203,40.122.160.14,40.122.160.14,443,1009,0.260416000
10.6.12.203,40.122.160.14,40.122.160.14,443,1009,0.248047000
10.6.12.203,40.122.160.14,40.122.160.14,443,1008,0.140389000
10.6.12.203,40.122.160.14,40.122.160.14,443,1008,0.106427000
10.6.12.203,23.48.205.230,23.48.205.230,443,978,0.015204000
10.6.12.203,23.48.205.230,23.48.205.230,443,956,0.000435000
10.6.12.203,23.48.205.230,23.48.205.230,443,52,0.111697000
10.6.12.203,23.48.205.230,23.48.205.230,443,52,0.033701000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.287047000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.071718000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.062885000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.061854000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.052548000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.051877000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.043074000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.035253000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.029968000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.028689000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.001555000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.001544000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.001294000
10.6.12.203,23.48.205.230,23.48.205.230,443,40,0.000209000
10.6.12.203,23.48.205.230,23.48.205.230,443,259,0.000440000
10.6.12.203,23.48.205.230,23.48.205.230,443,258,0.005203000
10.6.12.203,23.48.205.230,23.48.205.230,443,242,0.000005000
10.6.12.203,23.48.205.230,23.48.205.230,443,166,0.004738000
10.6.12.203,23.48.205.230,23.48.205.230,443,166,0.002025000
10.6.12.203,23.48.205.230,23.48.205.230,443,1500,0.508359000
10.6.12.203,23.48.205.230,23.48.205.230,443,1500,0.000013000
10.6.12.203,204.79.197.200,204.79.197.200,443,78,0.001357000
10.6.12.203,204.79.197.200,204.79.197.200,443,52,6.976669000
10.6.12.203,204.79.197.200,204.79.197.200,443,40,39.539678000
10.6.12.203,204.79.197.200,204.79.197.200,443,40,0.115269000
10.6.12.203,204.79.197.200,204.79.197.200,443,40,0.102444000
10.6.12.203,204.79.197.200,204.79.197.200,443,40,0.092170000
10.6.12.203,204.79.197.200,204.79.197.200,443,40,0.071970000
10.6.12.203,204.79.197.200,204.79.197.200,443,40,0.009937000
10.6.12.203,204.79.197.200,204.79.197.200,443,40,0.000253000
